Tests \ Parameters,Pattern,Scope,P,Q,L,R
1,AbsenceP,AfterL,5,0,7,0
2,QPrecedesP,AfterLuntilR,6,8,5,5
,,,,,,
4,QPrecedesP,Global,3,3,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
12,QRespondsP,AfterLuntilR,7,5,6,8
,,,,,,
14,QPrecedesP,BeforeR,6,6,0,6
,,,,,,
,,,,,,
,,,,,,
18,ExistenceP,BeforeR,7,0,0,3
,,,,,,
,,,,,,
,,,,,,
22,QRespondsP,AfterL,7,1,8,0
,,,,,,
24,QPrecedesP,AfterLuntilR,5,4,1,4
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
34,QPrecedesP,AfterL,8,2,5,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
41,QStrictlyPrecedesP,Global,6,7,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
46,ExistenceP,AfterL,3,0,6,0
,,,,,,
48,QRespondsP,AfterL,5,6,2,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
54,QRespondsP,AfterLuntilR,5,7,2,1
,,,,,,
56,AbsenceP,BetweenLandR,5,0,4,3
,,,,,,
58,QPrecedesP,AfterLuntilR,6,6,6,7
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
65,QRespondsP,Global,7,6,0,0
66,QStrictlyPrecedesP,AfterL,6,5,4,0
,,,,,,
68,ExistenceP,Global,4,0,0,0
69,QPrecedesP,BetweenLandR,7,8,4,7
70,QStrictlyPrecedesP,AfterL,1,5,1,0
,,,,,,
,,,,,,
73,QStrictlyPrecedesP,AfterLuntilR,7,7,3,2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
80,QPrecedesP,AfterLuntilR,5,2,3,3
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
87,QPrecedesP,BeforeR,5,1,0,4
88,ExistenceP,AfterLuntilR,5,0,2,7
,,,,,,
,,,,,,
,,,,,,
,,,,,,
93,QRespondsP,AfterL,8,7,6,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
100,QPrecedesP,AfterLuntilR,6,1,3,1
,,,,,,
,,,,,,
103,QStrictlyPrecedesP,BetweenLandR,7,5,7,6
,,,,,,
,,,,,,
,,,,,,
,,,,,,
108,QRespondsP,AfterLuntilR,5,5,8,3
,,,,,,
110,QRespondsP,Global,7,4,0,0
,,,,,,
,,,,,,
113,AbsenceP,BetweenLandR,7,0,1,1
,,,,,,
,,,,,,
,,,,,,
117,AbsenceP,AfterLuntilR,7,0,2,6
,,,,,,
,,,,,,
,,,,,,
,,,,,,
122,QRespondsP,Global,1,6,0,0
,,,,,,
124,AbsenceP,Global,2,0,0,0
125,QRespondsP,Global,5,2,0,0
126,QRespondsP,AfterL,4,8,6,0
127,QRespondsP,AfterL,2,4,8,0
128,ExistenceP,BetweenLandR,5,0,1,5
129,QRespondsP,Global,6,5,0,0
